Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/reports/me,1220,0,48,113.06313048119249,31.860957999015227,6488.776707999932,442.44262295081967,10.211118126032728,0.0,48,60,81,100,240,380,700,950,4700,6500,6500
GET,GET /dashboard/supervisor,1223,0,50,176.89294196392785,30.72516599786468,6905.643208003312,64.45789043336059,10.236227432900021,0.0,50,71,110,180,430,720,1100,1700,6600,6900,6900
POST,POST /api/reports,5116,0,62,141.01990317686415,39.33662500639912,8465.19770899613,358.54573885848316,42.81973797769134,0.0,62,78,100,130,300,510,820,1000,5400,8500,8500
,Aggregated,7559,0,59,142.31180207193705,30.72516599786468,8465.19770899613,324.50482868104245,63.26708353662409,0.0,59,74,100,130,310,520,870,1100,6500,8500,8500
