Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/reports/me,321,0,42,68.91730062622665,33.86737500113668,529.1179999985616,1778.2492211838007,2.6855049319279845,0.0,42,46,53,72,110,190,390,480,530,530,530
GET,GET /dashboard/supervisor,300,0,44,101.6934609965756,32.80645799895865,2303.469665999728,165.65333333333334,2.5098176933906395,0.0,44,51,90,120,240,340,510,560,2300,2300,2300
POST,POST /api/reports,1255,0,52,86.26404257449894,40.815332999045495,759.5497080001223,358.7027888446215,10.499404017350843,0.0,52,58,65,75,140,330,470,540,760,760,760
,Aggregated,1876,0,50,85.76325438752005,32.80645799895865,2303.469665999728,570.7281449893391,15.694726642669467,0.0,50,56,65,78,160,330,470,520,1900,2300,2300
