Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/reports/me,1203,0,44,217.86552401159287,32.14654199837241,4205.380583000078,2064.57855361596,10.07521387837255,0.0,44,49,65,98,610,1300,2200,2900,4100,4200,4200
GET,GET /dashboard/supervisor,1167,0,51,462.6737193204534,32.057458000053884,8845.237499997893,373.15938303341903,9.773711218670629,0.0,51,200,260,390,1200,2500,4500,5800,8200,8800,8800
POST,POST /api/reports,4774,0,53,254.9168352220225,37.78133399828221,9933.364665997942,358.59405111018015,39.98260270602706,0.0,53,61,77,110,840,1500,2300,3000,4300,9900,9900
,Aggregated,7144,0,52,282.61554131898845,32.057458000053884,9933.364665997942,648.249300111982,59.83152780307024,0.0,52,62,91,190,850,1600,2600,3300,7100,9900,9900
