Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/reports/me,2727,142,66,384.69094571840355,32.37016700222739,8809.661999999662,1839.4587458745875,22.815794141264014,1.1880611544039201,66,110,240,420,1100,1800,3600,5100,7600,8800,8800
GET,GET /dashboard/supervisor,2835,167,120,865.4927931336514,32.24433400100679,12288.774166998337,315.55238095238093,23.719389948838828,1.3972268506017933,120,340,620,890,2500,5200,7900,8700,11000,12000,12000
POST,POST /api/reports,10831,547,81,447.0795331554008,38.649500002065906,10277.058375002525,341.4332009971378,90.6189462207666,4.576545432809467,81,130,270,490,1300,2100,3900,5700,8600,10000,10000
,Aggregated,16393,856,81,509.0613494243975,32.24433400100679,12288.774166998337,586.1561642164338,137.15413031086945,7.16183343781518,81,150,330,550,1400,2300,5000,6800,9600,11000,12000
